Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000115105468585938,-0.0365,0.0238504113913967,0,0,0,0.289236388645379,0.000132761551873961,2.27069878380475E-19,2.81638454962055E-20,9.22208850458632E-05,4.59240074083166E-21,0.000102457028660538,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/base_link.STL,0.596078431372549,0.666666666666667,0.686274509803922,1,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/base_link.STL,,090037_00-PrintingServos-2;090037_00-PrintingServos-13;099479_00-Mount_Mot1-2;099479_00-Mount_Mot1-1;AssemblyBase-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1left,1.46409666895719E-06,-0.0265014640966689,0.032,0,0,0,0.0139855333805099,4.9526137894646E-06,5.28057620746869E-14,1.83384879073634E-10,4.95261378946461E-06,1.83384879073847E-10,7.14531123081449E-06,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link1left.STL,0.596078431372549,0.666666666666667,0.686274509803922,1,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link1left.STL,,090130_00-Printing089288-2;090130_00-Printing089288-3,Origin_joint1left,Axis_joint1left,joint1left,revolute,-0.046865,-0.01,0.053544,0,0,0,base_link,0,-1,0,0,0,0,6.28,,,,,,,,
link2left,-0.000305825393312725,0.000966359648445103,0.106341172825761,0,0,0,0.229782243260054,0.000614342121605754,-8.32549664095527E-14,-2.64032348605302E-14,0.000627742240982459,-8.6273676028392E-06,4.62566638656366E-05,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link2left.STL,0.596078431372549,0.666666666666667,0.686274509803922,1,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link2left.STL,,090037_00-PrintingServos-4;090129_00-Printing089287-2;129478_02-link_J2_J3-1;090130_00-Printing089288-5,Origin_joint2left,Axis_joint2left,joint2left,revolute,0,-0.0265,0.064,0,0,0,link1left,1,0,0,0,0,0,6.28,,,,,,,,
link3left,-0.000805715648479727,0.00234675284407727,0.104610252962578,0,0,0,0.229652446836796,0.000474381647933786,-8.32549774311269E-14,-2.64030323593543E-14,0.00048920460960121,-7.78396771784751E-06,4.68650934509069E-05,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link3left.STL,0.596078431372549,0.666666666666667,0.686274509803922,1,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link3left.STL,,090037_00-PrintingServos-6;090129_00-Printing089287-9;129479_01-link_J3_J4-1;090130_00-Printing089288-8;130920_00-Spacer_plate-1,Origin_joint3left,Axis_joint3left,joint3left,revolute,0,0.04825,0.26075,0,0,0,link2left,1,0,0,0,0,0,6.28,,,,,,,,
link4left,-0.00100018017618002,0.0230612774818827,-0.00805586196059338,0,0,0,0.113780679571394,4.87055369505725E-05,-1.83468134020384E-10,-2.64028829052873E-14,3.93388494809569E-05,1.96303429852286E-07,4.11715067020158E-05,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link4left.STL,0.596078431372549,0.666666666666667,0.686274509803922,1,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link4left.STL,,090037_00-PrintingServos-8;129748_02-link_J4_J5-1;090130_00-Printing089288-7,Origin_joint4left,Axis_joint4left,joint4left,revolute,0,0.05825,0.24075,0,0,0,link3left,-1,0,0,0,0,0,6.28,,,,,,,,
link5left,1.36536404404808E-09,-0.0114314067048532,0.0581132156435391,0,0,0,0.149495542286874,8.6825708374237E-05,1.02697388078987E-12,2.72736879792928E-12,5.05987072260068E-05,2.34694232821625E-06,6.90822321267579E-05,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link5left.STL,0.596078431372549,0.666666666666667,0.686274509803922,1,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link5left.STL,,090037_00-PrintingServos-7;129750_00-link_J5_J6-1;102567_01-Adhesion_mount-2,Origin_joint5left,Axis_joint5left,joint5left,revolute,-0.001,0.01275,-0.12095,0,0,0,link4left,0,0,-1,0,0,0,6.28,,,,,,,,
link6left,0.0588629378640857,-0.0687282009157469,-0.214351335153555,0,0,0,4.9205796441415,0.350442260579357,0.00225664600108457,0.0112700614970931,0.33666561882012,-0.0763319908864143,0.0360562021300994,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link6left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link6left.STL,,adhesion_assembly-1,Origin_joint6left,Axis_joint6left,joint6left,revolute,0,0,-5.4381E-05,-0.00037097,0.038406,0,link5left,0,1,0.00037097,0,0,0,6.28,,,,,,,,
screw_ll,0.0646622423547682,-0.119478168375613,-0.194448281233078,0,0,0,4.9205796441415,0.350844174713616,-0.000647388211465503,-0.00070766016861792,0.336665641624265,-0.0763625240272531,0.0356542651916951,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/screw_ll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/screw_ll.STL,,schraubenkopf-4,Origin_joint_screw_ll,Axis_joint_screw_ll,joint_screw_ll,continuous,-0.013145,0.050751,-0.022503,0,-0.038035,-1.4117E-05,link6left,0,1,0.00037097,,,,,,,,,,,,
screw_lr,0.0366622442813934,-0.119478164064466,-0.194458668291756,0,0,0,4.9205796441415,0.350844174713616,-0.000647388211465503,-0.000707660168617921,0.336665641624265,-0.0763625240272531,0.0356542651916951,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/screw_lr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/screw_lr.STL,,schraubenkopf-3,Origin_joint_screw_lr,Axis_joint_screw_lr,joint_screw_lr,continuous,0.014834,0.050751,-0.021427,0,-0.038035,-1.4117E-05,link6left,0,1,0.00037097,,,,,,,,,,,,
link1right,1.4640966688878E-06,-0.0265014640966689,0.0320000000000001,0,0,0,0.0139855333805099,4.95261378946459E-06,5.28057643033231E-14,1.83384879072351E-10,4.9526137894646E-06,1.83384879073712E-10,7.14531123081448E-06,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link1right.STL,0.596078431372549,0.666666666666667,0.686274509803922,1,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link1right.STL,,090130_00-Printing089288-13;090130_00-Printing089288-12,Origin_joint1right,Axis_joint1right,joint1right,revolute,0.046635,-0.01,0.053544,0,0,0,base_link,0,-1,0,0,0,0,6.28,,,,,,,,
link2right,0.000305825180978162,0.000966359648445096,0.106341172825761,0,0,0,0.229782243260054,0.000614342121605753,-8.32549743423753E-14,-2.64026839891863E-14,0.000627742240982458,-8.62736760283919E-06,4.62566638656364E-05,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link2right.STL,0.596078431372549,0.666666666666667,0.686274509803922,1,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link2right.STL,,090037_00-PrintingServos-12;090129_00-Printing089287-5;129478_02-link_J2_J3-2;090130_00-Printing089288-11,Origin_joint2right,Axis_joint2left,joint2right,revolute,0,-0.0265,0.064,0,0,0,link1right,1,0,0,0,0,0,6.28,,,,,,,,
link3right,0.000805715436024616,0.00234675284407723,0.104610252962577,0,0,0,0.229652446836796,0.000474381647933787,-8.3254953856137E-14,-2.64024993243238E-14,0.000489204609601211,-7.78396771784749E-06,4.68650934509069E-05,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link3right.STL,0.596078431372549,0.666666666666667,0.686274509803922,1,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link3right.STL,,090037_00-PrintingServos-11;090129_00-Printing089287-8;129479_01-link_J3_J4-2;090130_00-Printing089288-9;130920_00-Spacer_plate-2,Origin_joint3right,Axis_joint3right,joint3right,revolute,0,0.04825,0.26075,0,0,0,link2right,1,0,0,0,0,0,6.28,,,,,,,,
link4right,0.0010001539942989,0.0230612774818827,-0.00805586196059349,0,0,0,0.113780679571395,4.87055369505725E-05,-1.83468134031442E-10,-2.64028769046393E-14,3.93388494809569E-05,1.96303429852292E-07,4.11715067020158E-05,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link4right.STL,0.596078431372549,0.666666666666667,0.686274509803922,1,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link4right.STL,,090037_00-PrintingServos-9;129748_02-link_J4_J5-2;090130_00-Printing089288-10,Origin_joint4right,Axis_joint4right,joint4right,revolute,0,0.05825,0.24075,0,0,0,link3right,-1,0,0,0,0,0,6.28,,,,,,,,
link5right,1.44498700331563E-09,-0.0114314066129891,0.0581132157581361,0,0,0,0.149495541515728,8.6825708279059E-05,1.09628850450576E-12,2.79001028746539E-12,5.05987069687916E-05,2.34694234823125E-06,6.90822319173622E-05,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link5right.STL,0.596078431372549,0.666666666666667,0.686274509803922,1,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link5right.STL,,090037_00-PrintingServos-10;129750_00-link_J5_J6-2;102567_01-Adhesion_mount-1,Origin_joint5right,Axis_joint5right,joint5right,revolute,0.0010054,0.01275,-0.12095,0,0,0,link4right,0,0,-1,0,0,0,6.28,,,,,,,,
link6right,-0.0365720709703868,-0.0687268389754472,-0.218018431109013,0,0,0,4.9205796441415,0.350442260579357,0.00225664600108469,0.011270061497093,0.336665618820118,-0.0763319908864177,0.0360562021301011,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link6right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/link6right.STL,,adhesion_assembly-2,Origin_joint6right,Axis_joint6right,joint6right,revolute,0,0,-5.4381E-05,-0.00037097,0.038406,0,link5right,0,1,0.00037097,0,0,0,6.28,,,,,,,,
screw_rl,-0.0308431881221557,-0.119478153670588,-0.194483710804656,0,0,0,4.9205796441415,0.350844174713616,-0.000647388211465514,-0.00070766016861799,0.336665641624265,-0.0763625240272531,0.0356542651916951,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/screw_rl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/screw_rl.STL,,schraubenkopf-1,Origin_joint_screw_rl,Axis_joint_screw_rl,joint_screw_rl,continuous,-0.013145,0.050751,-0.022503,0,-0.038035,-1.4117E-05,link6right,0,1,0.00037097,,,,,,,,,,,,
screw_rr,-0.0588431861955305,-0.119478149359441,-0.194494097863333,0,0,0,4.9205796441415,0.350844174713616,-0.000647388211465513,-0.000707660168617985,0.336665641624265,-0.0763625240272531,0.0356542651916951,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/screw_rr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/screw_rr.STL,,schraubenkopf-2,Origin_joint_screw_rr,Axis_joint_screw_rr,joint_screw_rr,continuous,0.014834,0.050751,-0.021427,0,-0.038035,-1.4117E-05,link6right,0,1,0.00037097,,,,,,,,,,,,
screw_bl,0.0168606641443995,0.0138378289055244,0.281583507862372,0,0,0,4.9205796441415,0.350844174713616,-0.000647388211465296,-0.000707660168617058,0.336665641624265,-0.0763625240272548,0.0356542651916959,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/screw_bl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/screw_bl.STL,,schraubenkopf-6,Origin_joint_screw_bl,Axis_joint_screw_bl,joint_screw_bl,continuous,-0.01424,0,4.4418E-05,-0.00037097,0.00037097,0,base_link,0,1,0.00037097,,,,,,,,,,,,
screw_br,-0.0111393339314293,0.0138378332142163,0.28157312742074,0,0,0,4.9205796441415,0.350844174713616,-0.000647388211465305,-0.000707660168617095,0.336665641624265,-0.0763625240272548,0.0356542651916959,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/screw_br.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_assembly_v3/meshes/screw_br.STL,,schraubenkopf-5,Origin_joint_screw_br,Axis_joint_screw_br,joint_screw_br,continuous,0.01376,0,4.4411E-05,-0.00037097,0.00037097,0,base_link,0,1,0.00037097,,,,,,,,,,,,
